,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-06-14,348.0000,349.1700,345.8850,347.1600,347.1600,2258374,0.0000,1.0000
2019-06-13,347.2500,349.0600,344.1000,348.8600,348.8600,2621303,0.0000,1.0000
2019-06-12,349.0000,349.2700,342.7950,347.0300,347.0300,2738326,0.0000,1.0000
2019-06-11,355.4200,355.4730,348.1300,349.3300,349.3300,2702727,0.0000,1.0000
2019-06-10,356.0000,357.4000,353.5500,353.8000,353.8000,2560805,0.0000,1.0000
2019-06-07,352.3000,355.2800,352.3000,353.7000,353.7000,2470694,0.0000,1.0000
2019-06-06,348.1800,351.6400,345.5800,350.6400,350.6400,2582259,0.0000,1.0000
2019-06-05,346.2200,353.2500,332.4900,348.7500,348.7500,3188375,0.0000,1.0000
2019-06-04,342.5700,346.4100,340.1200,344.6200,344.6200,3592323,0.0000,1.0000
2019-06-03,338.2000,339.1100,330.6700,338.8900,338.8900,5148019,0.0000,1.0000
2019-05-31,345.8500,345.8500,341.3600,341.6100,341.6100,3217646,0.0000,1.0000
2019-05-30,350.0000,351.9200,347.9366,349.8700,349.8700,2183884,0.0000,1.0000
2019-05-29,352.5900,352.7900,346.0500,348.8000,348.8000,4160546,0.0000,1.0000
2019-05-28,355.2900,359.3100,354.8800,354.8800,354.8800,3504281,0.0000,1.0000
2019-05-24,355.0000,361.4000,353.0000,354.9000,354.9000,5387544,0.0000,1.0000
2019-05-23,345.9200,351.4700,341.1500,350.5500,350.5500,5305388,0.0000,1.0000
2019-05-22,357.2200,357.5700,351.7500,352.7800,352.7800,3841430,0.0000,1.0000
2019-05-21,358.0300,360.7700,354.8800,358.7500,358.7500,4022572,0.0000,1.0000
2019-05-20,353.0000,355.9406,350.5300,352.7900,352.7900,3219868,0.0000,1.0000
2019-05-17,351.5000,359.9900,351.1636,355.0200,355.0200,5282942,0.0000,1.0000
2019-05-16,348.6400,356.5000,345.8200,353.8100,353.8100,6036506,0.0000,1.0000
2019-05-15,339.8000,348.7999,337.6400,345.6400,345.6400,4809967,0.0000,1.0000
2019-05-14,339.9000,346.1000,337.2289,343.0400,343.0400,4747753,0.0000,1.0000
2019-05-13,344.5100,346.6300,337.0000,337.3700,337.3700,7757832,0.0000,1.0000
2019-05-10,351.8700,355.5400,347.5500,354.6700,354.6700,4574070,0.0000,1.0000
2019-05-09,354.7600,355.6500,347.4700,354.1300,354.1300,6075156,2.0550,1.0000
2019-05-08,357.7700,361.5200,353.3300,359.7500,357.6744,6029997,0.0000,1.0000
2019-05-07,366.3300,367.7100,355.0200,357.2300,355.1690,9740301,0.0000,1.0000
2019-05-06,367.8800,372.4800,365.6300,371.6000,369.4561,4747601,0.0000,1.0000
2019-05-03,376.0800,377.9000,374.2200,376.4600,374.2880,2953838,0.0000,1.0000
2019-05-02,375.5000,377.6500,373.2500,375.8000,373.6318,2438759,0.0000,1.0000
2019-05-01,378.5300,381.1951,376.3800,376.8000,374.6261,2765572,0.0000,1.0000
2019-04-30,379.5000,381.1400,375.0500,377.6900,375.5109,3732809,0.0000,1.0000
2019-04-29,378.4900,385.3000,376.7600,379.0500,376.8631,5457300,0.0000,1.0000
2019-04-26,383.8900,384.0000,378.1400,380.7900,378.5930,4259621,0.0000,1.0000
2019-04-25,376.0100,384.8000,372.7600,382.8000,380.5914,6614992,0.0000,1.0000
2019-04-24,377.8900,381.1500,373.6600,375.4600,373.2938,9855141,0.0000,1.0000
2019-04-23,375.5400,376.8700,372.6100,374.0200,371.8621,4894517,0.0000,1.0000
2019-04-22,375.6900,378.9500,374.9000,375.1700,373.0055,4147652,0.0000,1.0000
2019-04-18,377.5200,382.1700,377.5200,380.0700,377.8772,4703105,0.0000,1.0000
2019-04-17,384.1000,384.1900,377.4837,377.5200,375.3419,4424421,0.0000,1.0000
2019-04-16,376.5100,384.6400,375.0300,381.7200,379.5177,7083834,0.0000,1.0000
2019-04-15,376.7000,377.9000,373.6800,375.4600,373.2938,3822079,0.0000,1.0000
2019-04-12,375.7500,379.9500,372.0000,379.6400,377.4497,7334644,0.0000,1.0000
2019-04-11,364.6200,371.0800,364.2100,370.1600,368.0244,6598367,0.0000,1.0000
2019-04-10,368.4000,368.7900,362.9200,364.9400,362.8345,8284959,0.0000,1.0000
2019-04-09,370.2900,372.2400,367.7500,369.0400,366.9108,7980062,0.0000,1.0000
2019-04-08,376.2000,379.8000,371.8600,374.5200,372.3592,14482604,0.0000,1.0000
2019-04-05,398.0700,398.6600,390.9500,391.9300,389.6688,6857151,0.0000,1.0000
2019-04-04,385.9900,397.0600,385.1000,395.8600,393.5761,9388082,0.0000,1.0000
2019-04-03,389.6800,391.5386,384.0700,384.7400,382.5203,7350347,0.0000,1.0000
2019-04-02,388.5000,394.8299,388.5000,390.7500,388.4956,6401023,0.0000,1.0000
2019-04-01,385.8000,392.9000,383.1000,391.5400,389.2810,7735719,0.0000,1.0000
